Counter,Date,Time,Latitude,Longitude,Mag, MagValid,CompassX, CompassY, CompassZ,GyroscopeX, GyroscopeY, GyroscopeZ,AccelerometerX, AccelerometerY, AccelerometerZ,ImuTemperature,Track,LocationSource,Hdop,FixQuality, SatellitesUsed, Altitude,HeightOverEllipsoid,SpeedOverGround,MagneticVariation,VariationDirection,ModeIndicator,GgaSentence,RmcSentence,EventCode,EventInfo,EventDataLength,EventData
120232,2026/04/25,09:39:59.300,8.13484366,-2.59298368,32575.15635,1,24246,-11815,-20435,-51.052,3.699,27.426,-0.01903,-0.05149,1.39587,35.805,106.9,I,,,,,,,,,,,,,,,,
120332,2026/04/25,09:39:59.400,8.13484329,-2.59298246,32572.60415,1,24459,-9978,-21178,-48.719,5.079,25.679,0.03538,0.01672,1.48514,35.756,106.9,I,,,,,,,,,,,,,,,,
120432,2026/04/25,09:39:59.500,8.13484292,-2.59298125,32570.11385,1,24525,-8395,-21794,-44.698,6.114,19.082,0.02180,0.08215,1.38899,35.748,106.8,I,,,,,,,,,,,,,,,,
120532,2026/04/25,09:39:59.600,8.13484256,-2.59298003,32568.23565,1,24514,-7022,-22350,-34.990,9.272,17.927,0.02643,0.10201,1.25002,35.811,106.8,I,,,,,,,,,,,,,,,,
120632,2026/04/25,09:39:59.700,8.13484219,-2.59297881,32566.97460,1,24413,-5855,-22936,-29.107,9.970,13.875,0.01818,0.14164,1.11617,35.752,106.8,I,,,,,,,,,,,,,,,,
120732,2026/04/25,09:39:59.800,8.13484182,-2.59297760,32566.31690,1,24350,-4965,-23469,-24.747,10.509,8.936,0.00276,0.14540,1.04356,35.779,106.8,I,,,,,,,,,,,,,,,,
120832,2026/04/25,09:39:59.900,8.13484140,-2.59297622,32566.16395,1,24190,-4357,-24002,-18.451,8.904,3.583,0.01959,0.14227,1.00611,35.811,106.7,I,,,,,,,,,,,,,,,,
120932,2026/04/25,09:40:00.000,8.13484113,-2.59297533,32566.24340,1,24071,-4093,-24359,-8.798,1.837,-1.450,0.01505,0.14099,0.92321,35.785,106.7,G,0.980,1,12,301.40,24.10,2.578,0.000, ,,'$GNGGA,094000.00,0808.09039,N,00235.57826,W,1,12,0.98,301.4,M,24.1,M,,*57','$GNRMC,094000.00,A,0808.09039,N,00235.57826,W,2.578,106.69,250426,,,A,V*1B',,,,,
121032,2026/04/25,09:40:00.100,8.13484256,-2.59297549,32566.42120,1,24052,-4248,-24196,3.153,-0.609,-3.116,-0.00350,0.13504,0.86511,35.805,124.6,I,,,,,,,,,,,,,,,,
121132,2026/04/25,09:40:00.200,8.13484390,-2.59297578,32566.56575,1,24065,-4599,-24059,11.252,-2.820,-5.282,0.00419,0.13308,0.89883,35.801,142.4,I,,,,,,,,,,,,,,,,
121232,2026/04/25,09:40:00.300,8.13484486,-2.59297566,32567.01090,1,24173,-5214,-23772,15.326,-9.457,-11.889,0.00946,0.13433,0.98589,35.752,160.3,I,,,,,,,,,,,,,,,,
121332,2026/04/25,09:40:00.400,8.13484543,-2.59297540,32567.56855,1,24315,-6230,-23229,18.829,-9.978,-16.856,0.00430,0.10741,1.06258,35.793,178.1,I,,,,,,,,,,,,,,,,
121432,2026/04/25,09:40:00.500,8.13484558,-2.59297513,32567.96885,1,24447,-7410,-22721,26.804,-7.694,-18.162,0.01799,0.06090,1.18818,35.783,196.0,I,,,,,,,,,,,,,,,,
121532,2026/04/25,09:40:00.600,8.13484533,-2.59297498,32568.64785,1,24440,-8743,-22141,34.558,-8.586,-20.692,0.01372,0.02622,1.23933,35.826,213.9,I,,,,,,,,,,,,,,,,
121632,2026/04/25,09:40:00.700,8.13484473,-2.59297505,32569.34770,1,24309,-10285,-21456,38.121,-4.076,-22.834,0.00480,-0.01120,1.25181,35.809,231.7,I,,,,,,,,,,,,,,,,
121732,2026/04/25,09:40:00.800,8.13484387,-2.59297546,32569.88120,1,24091,-11843,-20981,36.685,0.324,-22.704,0.01663,-0.05522,1.32193,35.787,249.6,I,,,,,,,,,,,,,,,,
121832,2026/04/25,09:40:00.900,8.13484288,-2.59297631,32570.50285,1,23761,-13259,-20490,39.374,2.446,-17.845,0.01229,-0.10189,1.32486,35.826,267.4,I,,,,,,,,,,,,,,,,
