Counter,Date,Time,Latitude,Longitude,Mag, MagValid,CompassX, CompassY, CompassZ,GyroscopeX, GyroscopeY, GyroscopeZ,AccelerometerX, AccelerometerY, AccelerometerZ,ImuTemperature,Track,LocationSource,Hdop,FixQuality, SatellitesUsed, Altitude,HeightOverEllipsoid,SpeedOverGround,MagneticVariation,VariationDirection,ModeIndicator,GgaSentence,RmcSentence,EventCode,EventInfo,EventDataLength,EventData
139280,2026/04/25,14:44:24.300,8.13485273,-2.59297487,32562.72230,1,-31766,6224,-16164,-3.682,-2.250,-5.067,-0.02853,0.18629,1.23756,43.706,239.0,I,,,,,,,,,,,,,,,,
139380,2026/04/25,14:44:24.400,8.13485343,-2.59297494,32562.14730,1,-31710,6313,-16204,12.424,2.095,3.058,-0.03672,0.17178,1.24934,43.729,221.1,I,,,,,,,,,,,,,,,,
139480,2026/04/25,14:44:24.500,8.13485382,-2.59297529,32561.54025,1,-31769,6130,-16686,23.742,-1.018,4.366,-0.01296,0.17556,1.33009,43.702,203.2,I,,,,,,,,,,,,,,,,
139580,2026/04/25,14:44:24.600,8.13485382,-2.59297580,32560.87360,1,-31828,6088,-17427,23.931,-3.965,-1.570,-0.04210,0.11476,1.43326,43.706,185.2,I,,,,,,,,,,,,,,,,
139680,2026/04/25,14:44:24.700,8.13485340,-2.59297635,32559.98715,1,-31730,6184,-18165,29.145,-1.361,-3.444,-0.01560,0.05779,1.50237,43.706,167.3,I,,,,,,,,,,,,,,,,
139780,2026/04/25,14:44:24.800,8.13485257,-2.59297681,32559.00605,1,-31642,6197,-18843,36.589,1.876,-0.542,-0.02607,-0.02975,1.54093,43.697,149.4,I,,,,,,,,,,,,,,,,
139880,2026/04/25,14:44:24.900,8.13485136,-2.59297705,32558.04635,1,-31643,5890,-19712,46.252,0.797,5.408,-0.03789,-0.12794,1.48584,43.705,131.4,I,,,,,,,,,,,,,,,,
139980,2026/04/25,14:44:25.000,8.13484991,-2.59297699,32557.25915,1,-31695,5433,-20839,46.556,-0.925,2.424,-0.04260,-0.19131,1.41713,43.721,113.5,G,0.500,1,12,298.70,24.10,4.804,0.000, ,,'$GNGGA,144425.00,0808.09089,N,00235.57838,W,1,12,0.50,298.7,M,24.1,M,,*5A','$GNRMC,144425.00,A,0808.09089,N,00235.57838,W,4.804,113.54,250426,,,A,V*1A',,,,,
140080,2026/04/25,14:44:25.100,8.13484902,-2.59297652,32556.39255,1,-31718,5054,-21822,41.731,-3.545,0.400,-0.06140,-0.19330,1.36990,43.759,103.6,I,,,,,,,,,,,,,,,,
140180,2026/04/25,14:44:25.200,8.13484813,-2.59297594,32555.68660,1,-31669,4642,-22953,34.406,-3.621,0.288,-0.02181,-0.19180,1.31465,43.714,93.8,I,,,,,,,,,,,,,,,,
