timestamp,x,y,magnetic_field,source,line_id
1777109999.3,-2.59298368,8.13484366,32575.15635,airborne,A (16)
1777109999.4,-2.59298246,8.13484329,32572.60415,airborne,A (16)
1777109999.5,-2.59298125,8.13484292,32570.11385,airborne,A (16)
1777109999.6,-2.59298003,8.13484256,32568.23565,airborne,A (16)
1777109999.7,-2.59297881,8.13484219,32566.9746,airborne,A (16)
1777109999.8,-2.5929776,8.13484182,32566.3169,airborne,A (16)
1777109999.9,-2.59297622,8.1348414,32566.16395,airborne,A (16)
1777110000.0,-2.59297533,8.13484113,32566.2434,airborne,A (16)
1777110000.1,-2.59297549,8.13484256,32566.4212,airborne,A (16)
1777110000.2,-2.59297578,8.1348439,32566.56575,airborne,A (16)
1777110000.3,-2.59297566,8.13484486,32567.0109,airborne,A (16)
1777110000.4,-2.5929754,8.13484543,32567.56855,airborne,A (16)
1777110000.5,-2.59297513,8.13484558,32567.96885,airborne,A (16)
1777110000.6,-2.59297498,8.13484533,32568.64785,airborne,A (16)
1777110000.7,-2.59297505,8.13484473,32569.3477,airborne,A (16)
1777110000.8,-2.59297546,8.13484387,32569.8812,airborne,A (16)
1777110000.9,-2.59297631,8.13484288,32570.50285,airborne,A (16)
1777110001.0,-2.59297743,8.13484184,32570.8959,airborne,A (16)
1777110001.1,-2.59297834,8.13484098,32571.2883,airborne,A (16)
1777110001.2,-2.59297937,8.13484026,32571.8337,airborne,A (16)
1777110001.3,-2.59298068,8.13483978,32572.23175,airborne,A (16)
1777110001.4,-2.59298213,8.13483957,32572.6331,airborne,A (16)
1777110001.5,-2.59298365,8.13483967,32572.99015,airborne,A (16)
1777110001.6,-2.59298516,8.13484009,32573.13215,airborne,A (16)
1777110001.7,-2.59298656,8.13484081,32573.1576,airborne,A (16)
1777110001.8,-2.59298779,8.1348418,32573.301,airborne,A (16)
1777110001.9,-2.59298887,8.13484301,32573.34585,airborne,A (16)
1777110002.0,-2.59298936,8.13484427,32573.02365,airborne,A (16)
1777110002.1,-2.59298847,8.13484428,32572.817,airborne,A (16)
1777110002.2,-2.59298727,8.1348442,32572.6809,airborne,A (16)
1777110002.3,-2.59298616,8.13484415,32572.2936,airborne,A (16)
1777110002.4,-2.59298505,8.1348441,32571.9701,airborne,A (16)
1777110002.5,-2.59298393,8.13484405,32571.68455,airborne,A (16)
1777110002.6,-2.5929828,8.134844,32571.38265,airborne,A (16)
1777110002.7,-2.59298166,8.13484395,32571.0215,airborne,A (16)
1777110002.8,-2.59298051,8.1348439,32570.74765,airborne,A (16)
1777110002.9,-2.59297925,8.13484383,32570.53825,airborne,A (16)
1777110003.0,-2.59297831,8.13484381,32570.2522,airborne,A (16)
1777110003.1,-2.592978,8.13484497,32570.0316,airborne,A (16)
1777110003.2,-2.59297768,8.13484597,32569.8286,airborne,A (16)
1777110003.3,-2.592977,8.13484666,32569.7324,airborne,A (16)
1777110003.4,-2.59297616,8.13484698,32569.72215,airborne,A (16)
1777110003.5,-2.59297529,8.13484691,32569.75315,airborne,A (16)
1777110003.6,-2.5929745,8.13484646,32569.86515,airborne,A (16)
1777110003.7,-2.59297389,8.13484567,32570.0117,airborne,A (16)
1777110003.8,-2.59297357,8.1348446,32570.16705,airborne,A (16)
1777110003.9,-2.5929736,8.13484335,32570.19775,airborne,A (16)
1777110004.0,-2.59297403,8.13484206,32570.30305,airborne,A (16)
1777110004.1,-2.59297456,8.13484202,32570.3936,airborne,A (16)
1777110004.2,-2.59297512,8.13484201,32570.57745,airborne,A (16)
1777110004.3,-2.59297567,8.13484198,32570.6738,airborne,A (16)
1777110004.4,-2.59297623,8.13484196,32570.69495,airborne,A (16)
1777110004.5,-2.5929768,8.13484194,32570.68865,airborne,A (16)
1777110004.6,-2.59297737,8.13484192,32570.79515,airborne,A (16)
1777110004.7,-2.59297795,8.13484191,32570.85435,airborne,A (16)
1777110004.8,-2.59297853,8.13484189,32570.82535,airborne,A (16)
1777110004.9,-2.59297921,8.1348419,32570.88045,airborne,A (16)
1777110005.0,-2.59297962,8.13484186,32570.99265,airborne,A (16)
1777110005.1,-2.59297976,8.13484081,32570.91185,airborne,A (16)
1777110005.2,-2.59297986,8.13483996,32570.9543,airborne,A (16)
1777110005.3,-2.59298022,8.13483942,32570.7872,airborne,A (16)
1777110005.4,-2.59298066,8.13483921,32570.5943,airborne,A (16)
1777110005.5,-2.59298107,8.13483934,32570.56455,airborne,A (16)
1777110005.6,-2.59298136,8.13483979,32570.23725,airborne,A (16)
