???-r^s???q??????mr^s???q???

/Gem Systems GSM-19W 9088378 v7.0 23 VI 2022 M ew3ft~v7o 
/ID 1 file 63      .b   25 IV 26
/datum  32000.00
/ 008.1350146  -002.5929778 
/UTC
/30P
/00D809A6 8919
/GPS version 2018/Aug/24
/50Hz AC filter
/12.9V
/tune initialize N auto-tune N 032.7uT
/028800bps
/time nT sq 
093451.0  32565.32 99 
093451.5  32565.58 99 
093452.0  32565.36 99 
093452.5  32565.58 99 
093453.0  32565.25 99 
093453.5  32565.56 99 
093454.0  32565.62 99 
093454.5  32565.69 99 
093455.0  32565.70 99 
093455.5  32565.57 99 
093456.0  32565.69 99 
093456.5  32565.54 99 
093457.0  32565.33 99 
093457.5  32565.41 99 
093458.0  32565.48 99 
093458.5  32565.57 99 
093459.0  32565.60 99 
093459.5  32565.62 99 
093500.0  32565.33 99 
093500.5  32565.48 99 
093501.0  32565.49 99 
093501.5  32565.66 99 
093502.0  32565.63 99 
093502.5  32565.40 99 
093503.0  32565.29 99 
093503.5  32565.31 99 
093504.0  32565.70 99 
093504.5  32565.46 99 
093505.0  32565.54 99 
093505.5  32565.72 99 
093506.0  32565.40 99 
093506.5  32565.69 99 
093507.0  32565.57 99 
093507.5  32565.60 99 
093508.0  32565.72 99 
093508.5  32565.32 99 
093509.0  32565.59 99 
093509.5  32565.38 99 
093510.0  32565.40 99 
093510.5  32565.41 99 
093511.0  32565.85 99 
093511.5  32565.52 99 
093512.0  32565.62 99 
093512.5  32565.55 99 
093513.0  32565.43 99 
093513.5  32565.39 99 
093514.0  32565.65 99 
093514.5  32565.46 99 
093515.0  32565.67 99 
093515.5  32565.67 99 
093516.0  32565.68 99 
093516.5  32565.44 99 
093517.0  32565.50 99 
093517.5  32565.64 99 
093518.0  32565.42 99 
093518.5  32565.68 99 
093519.0  32565.68 99 
093519.5  32565.50 99 
093520.0  32565.33 99 
093520.5  32565.92 99 
093521.0  32565.61 99 
093521.5  32565.51 99 
093522.0  32565.60 99 
093522.5  32565.53 99 
093523.0  32565.50 99 
093523.5  32565.28 99 
093524.0  32565.53 99 
093524.5  32565.50 99 
093525.0  32566.45 99 
093525.5  32565.78 99 
093526.0  32565.48 99 
093526.5  32565.38 99 
093527.0  32565.49 99 
093527.5  32565.69 99 
093528.0  32565.83 99 
093528.5  32565.50 99 
093529.0  32565.35 99 
093529.5  32565.72 99 
093530.0  32565.57 99 
093530.5  32565.64 99 
093531.0  32565.45 99 
093531.5  32565.89 99 
093532.0  32565.41 99 
093532.5  32565.77 99 
093533.0  32565.82 99 
093533.5  32565.65 99 
093534.0  32565.73 99 
093534.5  32565.46 99 
093535.0  32565.56 99 
093535.5  32565.62 99 
093536.0  32565.62 99 
093536.5  32565.41 99 
093537.0  32565.16 99 
093537.5  32565.54 99 
093538.0  32565.08 99 
093538.5  32565.34 99 
093539.0  32565.51 99 
093539.5  32565.43 99 
093540.0  32565.59 99 
093540.5  32565.58 99 
093541.0  32565.65 99 
093541.5  32565.62 99 
093542.0  32565.29 99 
093542.5  32565.54 99 
093543.0  32565.73 99 
093543.5  32565.82 99 
093544.0  32565.70 99 
093544.5  32565.69 99 
093545.0  32565.58 99 
093545.5  32565.33 99 
093546.0  32566.00 99 
093546.5  32565.81 99 
093547.0  32565.75 99 
093547.5  32565.82 99 
093548.0  32565.75 99 
093548.5  32565.52 99 
093549.0  32565.78 99 
093549.5  32565.59 99 
093550.0  32565.63 99 
093550.5  32565.56 99 
093551.0  32565.69 99 
093551.5  32565.91 99 
093552.0  32565.84 99 
093552.5  32565.81 99 
